,MMSI,VesselType,Length,Width,BaseDateTime_Start,LAT_SPOKEStartPort,LON_SPOKEStartPort,StartHUBPORT_PortID,StartHUBPORT_LON,StartHUBPORT_LAT,BaseDateTime_TripEnd,LAT_SPOKEEndPort,LON_SPOKEEndPort,ENDHUBPORT_PortID,ENDHUBPORT_LON,ENDHUBPORT_LAT
5728,209141000,1004.0,143.15,22.8,2017-12-04T19:06:12,18.02078,-63.118469999999995,-1.0,-64.26840620689656,18.234004137931034,2017-12-05T10:48:45,18.00902,-63.04453,0,-63.044450000000005,18.010393333333333
6875,230185000,1004.0,108.35,17.47,2017-12-01T21:14:09,18.08363,-63.100319999999996,-1.0,-64.26840620689656,18.234004137931034,2017-12-06T21:24:41,18.3357,-64.94765,1,-64.94997666666666,18.334145555555555
10939,230185000,1004.0,108.35,17.47,2017-12-06T21:24:41,18.3357,-64.94765,1.0,-64.94997666666666,18.334145555555555,2017-12-20T21:53:33,18.40139,-64.59435,2,-64.5972975,18.4017525
20215,230185000,1004.0,108.35,17.47,2017-12-20T21:53:33,18.40139,-64.59435,2.0,-64.5972975,18.4017525,2017-12-23T17:30:13,17.697020000000002,-64.75511999999999,3,-64.75487625,17.696372500000003
27463,230185000,1004.0,108.35,17.47,2017-12-23T17:30:13,17.697020000000002,-64.75511999999999,3.0,-64.75487625,17.696372500000003,2017-12-24T23:38:44,18.33567,-64.94773,1,-64.94997666666666,18.334145555555555
30765,230185000,1004.0,108.35,17.47,2017-12-24T23:38:44,18.33567,-64.94773,1.0,-64.94997666666666,18.334145555555555,2017-12-25T11:03:35,18.40458,-64.6007,2,-64.5972975,18.4017525
45576,230185000,1004.0,108.35,17.47,2017-12-25T11:03:35,18.40458,-64.6007,2.0,-64.5972975,18.4017525,2017-12-29T13:56:41,18.33565,-64.94773,1,-64.94997666666666,18.334145555555555
49823,230185000,1004.0,108.35,17.47,2017-12-29T13:56:41,18.33565,-64.94773,1.0,-64.94997666666666,18.334145555555555,2017-12-29T21:40:08,18.42536,-64.60906999999999,4,-64.60922249999999,18.4256475
47653,230185000,1004.0,108.35,17.47,2017-12-29T21:40:08,18.42536,-64.60906999999999,4.0,-64.60922249999999,18.4256475,2017-12-30T12:27:33,17.69705,-64.75514,3,-64.75487625,17.696372500000003
49460,230185000,1004.0,108.35,17.47,2017-12-30T12:27:33,17.69705,-64.75514,3.0,-64.75487625,17.696372500000003,2017-12-31T23:29:35,18.33568,-64.94769000000001,1,-64.94997666666666,18.334145555555555
2483,230186000,1004.0,108.52,17.47,2017-12-03T03:10:45,18.04533,-63.26067,-1.0,-64.26840620689656,18.234004137931034,2017-12-03T12:27:04,18.4255,-64.60916999999999,4,-64.60922249999999,18.4256475
16285,230186000,1004.0,108.52,17.47,2017-12-03T12:27:04,18.4255,-64.60916999999999,4.0,-64.60922249999999,18.4256475,2017-12-22T11:17:19,17.980829999999997,-63.017669999999995,-1,-64.26840620689656,18.234004137931034
18740,230186000,1004.0,108.52,17.47,2017-12-22T11:17:19,17.980829999999997,-63.017669999999995,-1.0,-64.26840620689656,18.234004137931034,2017-12-23T11:11:16,17.902,-62.8535,-1,-64.26840620689656,18.234004137931034
27871,230186000,1004.0,108.52,17.47,2017-12-23T11:11:16,17.902,-62.8535,-1.0,-64.26840620689656,18.234004137931034,2017-12-24T20:41:04,18.428,-64.54033000000001,-1,-64.26840620689656,18.234004137931034
40196,235061952,1024.0,126.95,19.7,2017-12-04T21:11:28,18.052570000000003,-65.83695999999999,5.0,-65.83694,18.052565,2017-12-26T23:49:33,18.01083,-63.08626999999999,-1,-64.26840620689656,18.234004137931034
31382,244826000,1004.0,136.34,19.02,2017-12-25T02:56:47,18.31062,-64.9413,6.0,-64.93986,18.309922500000003,2017-12-25T15:03:17,18.3312,-64.9253,7,-64.92175285714286,18.334531428571427
13441,305749000,1004.0,132.19,15.9,2017-12-21T19:26:56,18.31904,-64.97835,8.0,-64.978538,18.318328,2017-12-21T23:20:30,18.33118,-64.95378000000001,1,-64.94997666666666,18.334145555555555
8297,308311000,1012.0,104.81,14.61,2017-12-02T12:01:31,18.33117,-64.95433,1.0,-64.94997666666666,18.334145555555555,2017-12-10T11:04:16,18.32483,-64.956,-1,-64.26840620689656,18.234004137931034
12238,308311000,1012.0,104.81,14.61,2017-12-10T11:04:16,18.32483,-64.956,-1.0,-64.26840620689656,18.234004137931034,2017-12-21T16:09:07,18.33117,-64.95416999999999,1,-64.94997666666666,18.334145555555555
16087,308311000,1012.0,104.81,14.61,2017-12-21T16:09:07,18.33117,-64.95416999999999,1.0,-64.94997666666666,18.334145555555555,2017-12-22T23:20:35,18.3165,-64.96233000000001,9,-64.96177333333333,18.316996666666668
39489,308311000,1012.0,104.81,14.61,2017-12-22T23:20:35,18.3165,-64.96233000000001,9.0,-64.96177333333333,18.316996666666668,2017-12-28T14:17:03,18.33183,-64.95366999999999,1,-64.94997666666666,18.334145555555555
41205,308311000,1012.0,104.81,14.61,2017-12-28T14:17:03,18.33183,-64.95366999999999,1.0,-64.94997666666666,18.334145555555555,2017-12-28T22:24:46,18.3175,-64.962,9,-64.96177333333333,18.316996666666668
24280,311000160,1012.0,163.81,22.52,2017-12-21T16:44:52,18.331879999999998,-64.95286999999999,1.0,-64.94997666666666,18.334145555555555,2017-12-24T11:39:32,18.31897,-64.98143,8,-64.978538,18.318328
26939,311000160,1012.0,163.81,22.52,2017-12-24T11:39:32,18.31897,-64.98143,8.0,-64.978538,18.318328,2017-12-24T23:25:41,18.334529999999997,-64.91981,7,-64.92175285714286,18.334531428571427
19140,311000506,1012.0,82.2,16.5,2017-12-05T10:48:09,17.6433,-63.257130000000004,-1.0,-64.26840620689656,18.234004137931034,2017-12-23T12:16:36,18.08323,-63.08523,-1,-64.26840620689656,18.234004137931034
37588,319063200,1019.0,48.76,9.02,2017-12-22T00:01:02,18.33625,-64.92115,7.0,-64.92175285714286,18.334531428571427,2017-12-27T23:59:21,18.31699,-64.96099,9,-64.96177333333333,18.316996666666668
45766,319063200,1019.0,48.76,9.02,2017-12-27T23:59:21,18.31699,-64.96099,9.0,-64.96177333333333,18.316996666666668,2017-12-29T17:03:28,18.43998,-64.76456999999999,-1,-64.26840620689656,18.234004137931034
27200,319594000,1019.0,63.0,11.55,2017-12-22T21:05:47,18.33486,-64.92073,7.0,-64.92175285714286,18.334531428571427,2017-12-25T00:01:36,18.334870000000002,-64.92071999999999,7,-64.92175285714286,18.334531428571427
32796,319594000,1019.0,63.0,11.55,2017-12-25T00:01:36,18.334870000000002,-64.92071999999999,7.0,-64.92175285714286,18.334531428571427,2017-12-25T21:55:12,18.334039999999998,-64.93056,-1,-64.26840620689656,18.234004137931034
39817,319723000,1019.0,43.3,7.6,2017-12-19T18:04:15,18.33483,-64.92182,7.0,-64.92175285714286,18.334531428571427,2017-12-28T18:19:17,18.36627,-64.9262,-1,-64.26840620689656,18.234004137931034
44802,319723000,1019.0,43.3,7.6,2017-12-28T18:19:17,18.36627,-64.9262,-1.0,-64.26840620689656,18.234004137931034,2017-12-29T12:58:29,18.313979999999997,-64.62568,-1,-64.26840620689656,18.234004137931034
48483,319723000,1019.0,43.3,7.6,2017-12-29T12:58:29,18.313979999999997,-64.62568,-1.0,-64.26840620689656,18.234004137931034,2017-12-30T21:44:35,18.46958,-64.4166,-1,-64.26840620689656,18.234004137931034
48773,319723000,1019.0,43.3,7.6,2017-12-30T21:44:35,18.46958,-64.4166,-1.0,-64.26840620689656,18.234004137931034,2017-12-30T22:35:58,18.49942,-64.4154,-1,-64.26840620689656,18.234004137931034
49525,319723000,1019.0,43.3,7.6,2017-12-30T22:35:58,18.49942,-64.4154,-1.0,-64.26840620689656,18.234004137931034,2017-12-31T20:18:19,18.451320000000003,-64.71363000000001,-1,-64.26840620689656,18.234004137931034
40434,319821000,1019.0,60.09,12.06,2017-12-27T23:50:08,18.335179999999998,-64.92274,7.0,-64.92175285714286,18.334531428571427,2017-12-28T17:39:28,18.36354,-64.75193,-1,-64.26840620689656,18.234004137931034
48696,319821000,1019.0,60.09,12.06,2017-12-28T17:39:28,18.36354,-64.75193,-1.0,-64.26840620689656,18.234004137931034,2017-12-30T23:06:17,18.35725,-64.5858,-1,-64.26840620689656,18.234004137931034
42,325631000,1004.0,77.32,15.42,2017-12-01T00:21:14,18.0111,-63.044419999999995,0.0,-63.044450000000005,18.010393333333333,2017-12-01T07:25:24,18.20458,-63.10556999999999,-1,-64.26840620689656,18.234004137931034
18920,325631000,1004.0,77.32,15.42,2017-12-01T07:25:24,18.20458,-63.10556999999999,-1.0,-64.26840620689656,18.234004137931034,2017-12-23T11:51:16,18.01106,-63.0444,0,-63.044450000000005,18.010393333333333
